,review,label,tit_rev,bert_euclid_team,bert_cosine_team,flair_euclid_team,flair_cosine_team,tfidf_cos_preds,keywords_preds
68,Верните пожалуйста как было провайдера ЭЛЛКО. Я всегда оплачиваю через приложение. А в этот раз не обнаружила.,iOS Release Engineer,После обновления пропал провайдер ЭЛЛКО. Верните пожалуйста как было провайдера ЭЛЛКО. Я всегда оплачиваю через приложение. А в этот раз не обнаружила.,Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,iOS Platform,iOS Release Engineer,[]
69,"Всё нормально !
Только проценты на всём у Вас больше чем зарубежом.",ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы;ЕФС.Автоплатежи,"Отзыв о СБРоссии. Всё нормально !
Только проценты на всём у Вас больше чем зарубежом.",Краудфандинг,Цифровой Кредит,Sberbank ID B2C,СБОЛ. Классические переводы,Цифровой Кредит,"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
70,"iPhone 11 XS mas pro - после запуска приложения и ввода пароля или (Face ID) приложение сразу вылетает. Все обновили, версии телефона и сбера самые новые. Приложение сносили и ставили заново, не помогает. Началось с 16 января. Сбербанк в чем может быть проблема. Оценку поставлю за само приложение 5 после ответа. Спасибо.",iOS Release Engineer;iOS Platform,"Вылетает после ввода пароля. iPhone 11 XS mas pro - после запуска приложения и ввода пароля или (Face ID) приложение сразу вылетает. Все обновили, версии телефона и сбера самые новые. Приложение сносили и ставили заново, не помогает. Началось с 16 января. Сбербанк в чем может быть проблема. Оценку поставлю за само приложение 5 после ответа. Спасибо.",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,"['DDA Profile', 'Развитие лояльности в МП СБОЛ', 'iOS Release Engineer']"
71,"После обновления, приложение все равно подвисает.",iOS Release Engineer;iOS Platform,"Обновление После обновления, приложение все равно подвисает.",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
72,Спасибо вам.Приложение работало долгое время и после обновления не открывается.Просто супер!!!,iOS Release Engineer;iOS Platform,Не открывается приложение Спасибо вам.Приложение работало долгое время и после обновления не открывается.Просто супер!!!,iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['Развитие лояльности в МП СБОЛ', 'iOS Release Engineer', 'iOS Platform']"
73,"Интернет хороший,а пишет ,что нет его .Исправте пожалуйста этот недочёт",iOS Platform,"Сбербанк Интернет хороший,а пишет ,что нет его .Исправте пожалуйста этот недочёт",Комиссионные продукты,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,['ЕФС.Платежи МП']
74,"Безобразие, не открывается, все хуже и хуже обновления",iOS Release Engineer;iOS Platform,"Неаеруша Безобразие, не открывается, все хуже и хуже обновления",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Release Engineer,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
76,"Приложение испортилось! Не показывает точную сумму, которая на карте. Чтобы узнать сколько у тебя средств на карте нужно отправить платную смс!!! Только после этого она отобразится в приложении. Потянуть страницу свайпом или перезагрузить приложении недостаточно! Спустя неделю баланс все ещё неверный показывает.",PFM Бюджет;iOS Release Engineer;iOS Platform;,"Отзыв Приложение испортилось! Не показывает точную сумму, которая на карте. Чтобы узнать сколько у тебя средств на карте нужно отправить платную смс!!! Только после этого она отобразится в приложении. Потянуть страницу свайпом или перезагрузить приложении недостаточно! Спустя неделю баланс все ещё неверный показывает.",iOS Platform,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"['ВС.МП вклады', 'PFM Бюджет', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
78,"В версиях ранее и текущей, в случае если в момент когда приложение открыто и было поступление средств, остаток не обновляется, даже через свайп вниз. Обновление происходит только после закрытия и повторного открытия приложения.",PFM Бюджет;iOS Release Engineer;iOS Platform,"Не обновляются остатки средств В версиях ранее и текущей, в случае если в момент когда приложение открыто и было поступление средств, остаток не обновляется, даже через свайп вниз. Обновление происходит только после закрытия и повторного открытия приложения.",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
79,"Добрый день! Было бы лучше иметь русскоязычный и англоязычный интерфейс. Вариант-выбрать один или другой.  

Спасибо!",iOS Platform,"ENGLISH Добрый день! Было бы лучше иметь русскоязычный и англоязычный интерфейс. Вариант-выбрать один или другой.  

Спасибо!",ПДВ в Digital,ПДВ в Digital,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,"['Развитие лояльности в МП СБОЛ', 'Global Navigation']"
80,"Каждый раз при запуске приложения на iPhone 7 (iOS 13.5.1) во вкладке Диалоги постоянно появляется цифра 1. Исчезает когда открываешь вкладку, но при следующем запуске снова появляется.
Исправьте пожалуйста! Надоело постоянно её видеть, отвлекает внимание.",Мессенджер;Текстовый чат;iOS Release Engineer;iOS Platform,"Вкладка Диалоги Каждый раз при запуске приложения на iPhone 7 (iOS 13.5.1) во вкладке Диалоги постоянно появляется цифра 1. Исчезает когда открываешь вкладку, но при следующем запуске снова появляется.
Исправьте пожалуйста! Надоело постоянно её видеть, отвлекает внимание.",iOS Platform,iOS Platform,Global Navigation,iOS Platform,Мессенджер,"['Мессенджер', 'Текстовый чат', 'iOS Platform']"
81,"Очередной раз замечаю, что постоянно, без моего ведома, в настройках обратно включается функция сбора статистики. Каждый раз собственноручно её выключаю, и каждый раз, через некоторое время, она опять активна.

Что за насильственное принуждение к передаче своих личных данных?!",DDA Profile;Редактируемый профиль клиента;iOS Release Engineer,"Функция сбора статистики включается сама по себе Очередной раз замечаю, что постоянно, без моего ведома, в настройках обратно включается функция сбора статистики. Каждый раз собственноручно её выключаю, и каждый раз, через некоторое время, она опять активна.

Что за насильственное принуждение к передаче своих личных данных?!",iOS Platform,DDA Profile,Sberbank ID B2C,Sberbank ID B2C,iOS Platform,[]
82,"Здравствуйте! Исправьте пожалуйста ошибку. После входа в приложение тормозит, долго думает прежде чем начать какую либо операцию! 
Тормозит !",iOS Release Engineer;iOS Platform,"Тормозит Здравствуйте! Исправьте пожалуйста ошибку. После входа в приложение тормозит, долго думает прежде чем начать какую либо операцию! 
Тормозит !",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,Global Navigation,"['iOS Platform', 'Global Navigation']"
84,"Огромное спасибо, что добавили досрочное погашение кредита с уменьшением срока кредита, давно ждала эту функцию. Только было замечательно, если была бы возможность просмотра графика платежей перед сохранением операции, как это сделано в отделение банка.",Mobile Online POS (Розничный кредит);Цифровой Кредит;[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы);iOS Release Engineer,"Спасибо добавление уменьшения срока в мп сбол!!! Огромное спасибо, что добавили досрочное погашение кредита с уменьшением срока кредита, давно ждала эту функцию. Только было замечательно, если была бы возможность просмотра графика платежей перед сохранением операции, как это сделано в отделение банка.",Цифровой Кредит,Цифровой Кредит,Sberbank ID B2C,Mobile Online POS (Розничный кредит),iOS Platform,"['Развитие лояльности в МП СБОЛ', 'Цифровой Кредит', 'Mobile Online POS (Розничный кредит)']"
85,Не работает!!!,iOS Release Engineer;iOS Platform,После обновления не работает приложение Не работает!!!,Госуслуги,История операций,Sberbank ID B2C,iOS Platform,iOS Release Engineer,[]
86,"Оптимизируйте размер приложения, 250 мегабайт против Тинькоффских 120 никуда не годится",iOS Release Engineer;iOS Platform,"Место на телефоне Оптимизируйте размер приложения, 250 мегабайт против Тинькоффских 120 никуда не годится",iOS Release Engineer,iOS Release Engineer,СБОЛ. Классические переводы,iOS Platform,iOS Release Engineer,[]
87,"Развод продолжается. Писал жалобу 19.02.2020, ничего не изменилось. 10.03.2020 курс обмена евро в приложении 83,03, но при попытке купить считает по курсу 84,39. Скрины имеются.",ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы;ЕФС.Автоплатежи,"Развод на курсе € Развод продолжается. Писал жалобу 19.02.2020, ничего не изменилось. 10.03.2020 курс обмена евро в приложении 83,03, но при попытке купить считает по курсу 84,39. Скрины имеются.",Краудфандинг,Краудфандинг,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,[]
88,После последнего обновления iOS 13 не работает вообще 🤯🤬🤬🤬🤬🤬,iOS Release Engineer;iOS Platform,Не работает вообще После последнего обновления iOS 13 не работает вообще 🤯🤬🤬🤬🤬🤬,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
89,Или пользователи и это гов..но схавают?,iOS Release Engineer;iOS Platform,"Эй, разрабы. А вы пробовали тестировать ПО перед тем как выкладывать в релиз? Или пользователи и это гов..но схавают?",Самозанятые,DDA Profile,Sberbank ID B2C,iOS Platform,iOS Platform,[]
91,"1. Комиссия показывается на последнем шаге
2. После перевода между счетами деньги все равно не видны, нужно перезапускать приложение
3. Я вводил 2 раза ФИО которое вы и так знаете
4. Данные об организации после поиска показываются на последнем шаге
5. Потратил 30 минут чтобы заплатить за садик",ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы;ЕФС.Автоплатежи,"Слишком сложно для простых действий 1. Комиссия показывается на последнем шаге
2. После перевода между счетами деньги все равно не видны, нужно перезапускать приложение
3. Я вводил 2 раза ФИО которое вы и так знаете
4. Данные об организации после поиска показываются на последнем шаге
5. Потратил 30 минут чтобы заплатить за садик",ЕФС.Автоплатежи,ЕФС.Автоплатежи,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
92,"Часто приложение зависает, счета дублируются, не получается выполнить операцию! Интернет у меня отличный, все остальные приложения работают хорошо.",iOS Platform,". Часто приложение зависает, счета дублируются, не получается выполнить операцию! Интернет у меня отличный, все остальные приложения работают хорошо.",Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,СБОЛ. Классические переводы,ЕФС.Платежи МП,"['ЕФС Выписки и справки. Mobile', 'ВС.МП вклады', 'Плановый и досрочный перевыпуск дебетовых карт']"
94,Выкидывает из приложения,iOS Platform,Проблемма Выкидывает из приложения,Самозанятые,ПДВ в Digital,Sberbank ID B2C,iOS Platform,iOS Platform,[]
96,"Хотел ознакомиться с условиями перед расчётом своего кредитного потенциала, при нажатии получил «ошибка, не удалось загрузить документ».",iOS Platform,"Ошибка Хотел ознакомиться с условиями перед расчётом своего кредитного потенциала, при нажатии получил «ошибка, не удалось загрузить документ».",Mobile Online POS (Розничный кредит),Mobile Online POS (Розничный кредит),Sberbank ID B2C,ЕФС.Платежи МП,iOS Platform,[]
97,"Приятный цвет, стилистика, тем не менее, в части отображения самих движений по счету - огромный минус. Во-первых, половину экрана занимает остаток, из-за чего транзакции отображаются по одной-две за пролистывание. Во-вторых - списание комиссий, которое появляется задним числом, либо вообще не появляется, не смотря на то, что остаток в минусе.

В продолжение, на ответ о списании годовой комиссии: нет, после погашения задолженности в истории транзакция не появляется. Просто списана сумма, и на остатке плюс только из-за пополнения счета. Вы планируете добавить какие-либо документы, указывающие на такие списания, или так и нужно постоянно выяснять, не мошенническое ли это действие?",Global Navigation;PFM Бюджет,"Неудобное приложение Приятный цвет, стилистика, тем не менее, в части отображения самих движений по счету - огромный минус. Во-первых, половину экрана занимает остаток, из-за чего транзакции отображаются по одной-две за пролистывание. Во-вторых - списание комиссий, которое появляется задним числом, либо вообще не появляется, не смотря на то, что остаток в минусе.

В продолжение, на ответ о списании годовой комиссии: нет, после погашения задолженности в истории транзакция не появляется. Просто списана сумма, и на остатке плюс только из-за пополнения счета. Вы планируете добавить какие-либо документы, указывающие на такие списания, или так и нужно постоянно выяснять, не мошенническое ли это действие?",Global Navigation,Global Navigation,Sberbank ID B2C,СБОЛ. Классические переводы,Автопереводы,"['Автопереводы', 'Sberbank ID B2C', 'ЕФС Выписки и справки. Mobile']"
98,"Верните назад оповещены в смс 900!!!! Стало очень не удобно, постоянно заходить в приложение сбербанк онлайн и смотреть сколько осталось на счету. Когда стоишь в магазине и не помнишь сколько у тебя осталось на счету. Приходится заходить в приложение, вводить пинкод, пока оно загрузиться и рак на горе свиснет!!!
А так было просто, зашел в смс 900, посмотрел быстренько сколько там на счету осталось и отличненько!",iOS Release Engineer;iOS Platform,"Верните смс 900 Верните назад оповещены в смс 900!!!! Стало очень не удобно, постоянно заходить в приложение сбербанк онлайн и смотреть сколько осталось на счету. Когда стоишь в магазине и не помнишь сколько у тебя осталось на счету. Приходится заходить в приложение, вводить пинкод, пока оно загрузиться и рак на горе свиснет!!!
А так было просто, зашел в смс 900, посмотрел быстренько сколько там на счету осталось и отличненько!",iOS Platform,Sberbank ID B2C,Sberbank ID B2C,СБОЛ. Классические переводы,Мессенджер,"['ЕФС Выписки и справки. Mobile', 'ВС.МП вклады', 'Мессенджер']"
99,На планшете стало неудобно пользоваться- окно только вертикально и маленькое,iOS Release Engineer;iOS Platform;Global Navigation,На планшете На планшете стало неудобно пользоваться- окно только вертикально и маленькое,Самозанятые,Global Navigation,Global Navigation,Global Navigation,Global Navigation,['Global Navigation']
101,"Обновила приложение сегодня и вообще Сбербанк не могу открыть, постоянно вылетает, даже не загружается. Интернет работает стабильно, даже телефон перезагружала, все равно вылетает!!",iOS Release Engineer;iOS Platform,"Вылетает постоянно Обновила приложение сегодня и вообще Сбербанк не могу открыть, постоянно вылетает, даже не загружается. Интернет работает стабильно, даже телефон перезагружала, все равно вылетает!!",Текстовый чат,Текстовый чат,Sberbank ID B2C,СБОЛ. Классические переводы,ЕФС.Платежи МП,['ЕФС.Платежи МП']
102,после обновления не открывается приложение вообще.,iOS Release Engineer;iOS Platform,почему? после обновления не открывается приложение вообще.,iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
103,Просьба не присылать мне никаких кредитных предложений ни под какие проценты ближайшие 26 лет. Спасибо.,Дебетовые карты в мобильном приложении;[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)';Цифровой Кредит;Mobile Online POS (Розничный кредит),Карты и кредиты Просьба не присылать мне никаких кредитных предложений ни под какие проценты ближайшие 26 лет. Спасибо.,Mobile Online POS (Розничный кредит),Mobile Online POS (Розничный кредит),СБОЛ. Классические переводы,ЕФС.Автоплатежи,Плановый и досрочный перевыпуск дебетовых карт,"['Развитие лояльности в МП СБОЛ', 'Цифровой Кредит', 'Mobile Online POS (Розничный кредит)']"
104,Стало просто невозможно создать быструю выписку по карте. Делается запрос и приходит отчёт. Ранее просто на экране в ту же секунду инфа отображалась. В принципе стало трудно найти эту выписку. Очень неудобно,ЕФС Выписки и справки. Mobile;iOS Release Engineer,Выписка Стало просто невозможно создать быструю выписку по карте. Делается запрос и приходит отчёт. Ранее просто на экране в ту же секунду инфа отображалась. В принципе стало трудно найти эту выписку. Очень неудобно,iOS Platform,iOS Platform,Sberbank ID B2C,СБОЛ. Классические переводы,ЕФС Выписки и справки. Mobile,"['ЕФС Выписки и справки. Mobile', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
107,Добавьте же наконец поддержку темного режима экрана!!!,iOS Release Engineer;Global Navigation;iOS Platform,"Все отлично, но... Добавьте же наконец поддержку темного режима экрана!!!",Global Navigation,Global Navigation,Sberbank ID B2C,iOS Platform,Текстовый чат,"['Текстовый чат', 'Global Navigation']"
108,"Сейчас там отображается баланс последней использованной карты, хотелось бы что бы была возможность фиксированного выбора определенной карты (у меня есть основная карта).",Global Navigation;Дебетовые карты в мобильном приложении,"Карта в виджете Сейчас там отображается баланс последней использованной карты, хотелось бы что бы была возможность фиксированного выбора определенной карты (у меня есть основная карта).",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,Дебетовые карты в мобильном приложении,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"['ВС.МП вклады', 'PFM Бюджет', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
109,"Вылетает Сбербанк онлайн на iPhone 5s iOS 12. После установки всё нормально работает, но стоит закрыть приложение, выгрузить из памяти и попытаться снова зайти -  не запускается. Что-то сломали, раньше всё хорошо было. Исправьте пожалуйста",iOS Release Engineer;iOS Platform,"Вылетает ! Вылетает Сбербанк онлайн на iPhone 5s iOS 12. После установки всё нормально работает, но стоит закрыть приложение, выгрузить из памяти и попытаться снова зайти -  не запускается. Что-то сломали, раньше всё хорошо было. Исправьте пожалуйста",iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,['iOS Platform']
110,Приложение перестало открываться по мобильной сети  ! Вход возможен только по wi-fi или через раздачу!,iOS Release Engineer;iOS Platform,Не работает Приложение перестало открываться по мобильной сети  ! Вход возможен только по wi-fi или через раздачу!,iOS Platform,Mobile Online POS (Розничный кредит),Sberbank ID B2C,iOS Platform,Global Navigation,"['Global Navigation', 'iOS Platform']"
111,"убираю ненужные разделы на главном, но через пару заходов в приложение они опять появляются, началось с последним обновлением, испрате",iOS Release Engineer;iOS Platform,"разделы на главном убираю ненужные разделы на главном, но через пару заходов в приложение они опять появляются, началось с последним обновлением, испрате",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
113,Очень нравится услуга QR code и оповещение смс о приходе счета и возможности оплатить автоматически с помощью смс. Удобно и быстро,iOS Release Engineer;iOS Platform,Интернет банк Очень нравится услуга QR code и оповещение смс о приходе счета и возможности оплатить автоматически с помощью смс. Удобно и быстро,ЕФС.Платежи МП,ЕФС.Платежи МП,ЕФС.Платежи МП,ЕФС.Платежи МП,Текстовый чат,"['ЕФС Выписки и справки. Mobile', 'ВС.МП вклады', 'Мессенджер']"
115,"Все супер, переустановил приложение и заработало отлично👍🏽",iOS Release Engineer;iOS Platform,"Обновил... Все супер, переустановил приложение и заработало отлично👍🏽",Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,[]
116,Не работает и не отображается в настройках функция touch id Iphone 7.,iOS Release Engineer;iOS Platform,Touch id iphone 7 Не работает и не отображается в настройках функция touch id Iphone 7.,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,[]
117,Вылетает iPhone 6S,iOS Release Engineer;iOS Platform,Сломано Вылетает iPhone 6S,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,[]
118,"Разработчики, я не знаю что у вас там происходит и как вы делали приложение. Но у меня последний на данный момент айфон и он безумно сильно греется именно в вашем приложении. Это издевательство для процессора и рук, которые просто телефон держать не могут. Криворукие разрабы, чес слово",iOS Release Engineer;iOS Platform,"Очень сильно греется телефон!!! Разработчики, я не знаю что у вас там происходит и как вы делали приложение. Но у меня последний на данный момент айфон и он безумно сильно греется именно в вашем приложении. Это издевательство для процессора и рук, которые просто телефон держать не могут. Криворукие разрабы, чес слово",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,['iOS Platform']
119,"Разрабочики этого приложения, за что платить деньги, за обслуживание карты, если ВЫ ВСЕ РАВНО СМС-УВЕДОМЛЕНИЕ ОТКЛЮЧИЛИ!!!!!! Мне НЕ интересно каждый раз заходить в вообще приложение и смотреть остаток на карте!!!!! Сделай обратно, чтоб можно было смс читать с номера 900, как раньше!!!!!!!!😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",PUSH IOS;Мессенджер;iOS Release Engineer,"За что я плачу по 150₽ в месяц?!?!!??!😡 Разрабочики этого приложения, за что платить деньги, за обслуживание карты, если ВЫ ВСЕ РАВНО СМС-УВЕДОМЛЕНИЕ ОТКЛЮЧИЛИ!!!!!! Мне НЕ интересно каждый раз заходить в вообще приложение и смотреть остаток на карте!!!!! Сделай обратно, чтоб можно было смс читать с номера 900, как раньше!!!!!!!!😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ЕФС. Страхование', 'СБОЛ. Классические переводы', 'Sberbank ID B2C']"
120,Очень плохо! Стало зависать приложение! Не запускается!,iOS Release Engineer;iOS Platform,Обновление ноябрь 2019 Очень плохо! Стало зависать приложение! Не запускается!,iOS Platform,Развитие лояльности в МП СБОЛ,iOS Platform,iOS Platform,iOS Release Engineer,[]
121,"Здравствуйте! Как отключить весь контент в приложении? Везде  понажимал ""не интересно"", а воз и ныне там.  Меня интересуют только открытые банковские продукты. Контент про почему полезен завтрак и про космос я предпочту потреблять на более профильных ресурсах.",DBP.Витрины продаж,"Лишний контент Здравствуйте! Как отключить весь контент в приложении? Везде  понажимал ""не интересно"", а воз и ныне там.  Меня интересуют только открытые банковские продукты. Контент про почему полезен завтрак и про космос я предпочту потреблять на более профильных ресурсах.",DBP.Витрины продаж,DBP.Витрины продаж,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,[]
122,"Ну было же удобно и информативно!  Теперь непонятно как приходят уведомления, а иногда и совсем не приходят. Иногда, как раньше, приходят смс. 
При этом изменится ли стоимость обслуживания карты?- естественно нет)",PUSH IOS,"Бардак с уведомлениями! Ну было же удобно и информативно!  Теперь непонятно как приходят уведомления, а иногда и совсем не приходят. Иногда, как раньше, приходят смс. 
При этом изменится ли стоимость обслуживания карты?- естественно нет)",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ЕФС. Страхование', 'Sberbank ID B2C', 'СБОЛ. Классические переводы']"
124,"У меня стоит ios 10, обновиться нет возможности. А потом вы сделаете так, что приложение без обновления станет недоступно, что мне предлагаете делать?",iOS Release Engineer;iOS Platform,"Системные требования - iOS 11 У меня стоит ios 10, обновиться нет возможности. А потом вы сделаете так, что приложение без обновления станет недоступно, что мне предлагаете делать?",iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
125,Долго ещё приложение будет сбрасывать настройки при каждом входе?,iOS Release Engineer;iOS Platform,Когда починят? Долго ещё приложение будет сбрасывать настройки при каждом входе?,Global Navigation,Global Navigation,Sberbank ID B2C,iOS Platform,iOS Platform,"['Global Navigation', 'iOS Platform']"
126,Зависает как только проходишь авторизацию. Прошивка последняя. iPhone XR,iOS Release Engineer;iOS Platform,Не работает Зависает как только проходишь авторизацию. Прошивка последняя. iPhone XR,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,"['Global Navigation', 'iOS Platform']"
127,"При переводе средств со счета на счёт нет возможности вставить длинные номера счетов копипастом, приходится вводить руками",СБОЛ. Классические переводы;Автопереводы,"Неудобно При переводе средств со счета на счёт нет возможности вставить длинные номера счетов копипастом, приходится вводить руками",СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['ПДВ в Digital', 'Автопереводы', 'ЕФС Выписки и справки. Mobile']"
128,Уже вторую неделю сразу после запуска зависает и ни на что не реагирует!,iOS Release Engineer;iOS Platform,Глючит Уже вторую неделю сразу после запуска зависает и ни на что не реагирует!,iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,['iOS Platform']
130,"Удобное приложение, работает очень быстро, но если возможно сделайте пожалуйста возможность удалять ненужную историю и, чистить историю переводов и т.д.",История операций,"Сбербанк онлайн Удобное приложение, работает очень быстро, но если возможно сделайте пожалуйста возможность удалять ненужную историю и, чистить историю переводов и т.д.",ПДВ в Digital,История операций,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
131,СберСупер👍👍👍!!! Кроме кредитования🙃,Цифровой Кредит;Mobile Online POS (Розничный кредит);[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Ирина СберСупер👍👍👍!!! Кроме кредитования🙃,Госуслуги,DBP.Подарки,Sberbank ID B2C,iOS Platform,iOS Platform,[]
132,После обновления перестали отображаться оформленные металлические счета!!!!,iOS Release Engineer;iOS Platform,Сдаете позиции!!!! После обновления перестали отображаться оформленные металлические счета!!!!,ЕФС Выписки и справки. Mobile,ЕФС Выписки и справки. Mobile,Sberbank ID B2C,Global Navigation,iOS Release Engineer,"['ЕФС Выписки и справки. Mobile', 'ВС.МП вклады', 'Плановый и досрочный перевыпуск дебетовых карт']"
133,"Сделали бы ещё, чтобы можно было на айфоне добавить в виджеты и не заходя в приложение смотреть баланс на карте.",Global Navigation;PFM Бюджет,"Рекомендации Сделали бы ещё, чтобы можно было на айфоне добавить в виджеты и не заходя в приложение смотреть баланс на карте.",iOS Platform,Дебетовые карты в мобильном приложении,Sberbank ID B2C,iOS Platform,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"['Телеком', 'ВС.МП вклады', 'PFM Бюджет']"
135,"Приложение класс!!! Всегда под рукой твои финансы. Радуюсь невозможно. Хоть коммуналку оплати на раз, хоть телефон, или сделай перевод, а также налоги и штрафы. Полностью все устраивает 100% советую всем, кто дружит со Сбером. Самое удобное приложение",iOS Platform;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,"Полезное приложение Приложение класс!!! Всегда под рукой твои финансы. Радуюсь невозможно. Хоть коммуналку оплати на раз, хоть телефон, или сделай перевод, а также налоги и штрафы. Полностью все устраивает 100% советую всем, кто дружит со Сбером. Самое удобное приложение",Платежи. Штрафы,Sberbank ID B2C,Sberbank ID B2C,СБОЛ. Классические переводы,ПДВ в Digital,"['ПДВ в Digital', 'Автопереводы', 'PFM Бюджет']"
